Steps,Policy/Entropy,RT,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
5520000,0.8527175,4.078740157480315,1050.7241379310344,0.67028356,3.3908780875958895,3.3908780875958895,0.010898023,0.035004497,0.00021780007,0.17260003,0.0007287402,1.0
5580000,0.85119313,3.944223107569721,999.0,0.6726904,3.333769284445664,3.333769284445664,0.010837423,0.03544479,0.00021690007,0.17230003,0.0007257701,1.0
5640000,0.84754056,3.931726907630522,1050.7241379310344,0.67892814,3.452921176778859,3.452921176778859,0.010918148,0.03576825,0.00021600007,0.17200002,0.00072280003,1.0
5700000,0.8438208,4.106299212598425,1050.7241379310344,0.6847675,3.4041889659289657,3.4041889659289657,0.010863009,0.037560113,0.00021510007,0.1717,0.00071983016,1.0
5760000,0.8357387,4.094117647058823,1050.7241379310344,0.6828803,3.503657077488146,3.503657077488146,0.010807686,0.036000807,0.00021420009,0.17139998,0.00071686006,1.0
5820000,0.831052,4.186507936507937,999.0,0.6864193,3.1800438741157793,3.1800438741157793,0.011756304,0.033898503,0.00021330007,0.17109999,0.0007138901,1.0
5880000,0.82668936,4.031372549019608,1050.7241379310344,0.6819562,3.48911661937319,3.48911661937319,0.011281528,0.035695087,0.00021240007,0.17080003,0.0007109201,1.0
5940000,0.82440776,3.831372549019608,1050.7241379310344,0.68750876,3.424027940322613,3.424027940322613,0.010994909,0.033730153,0.00021150008,0.17050001,0.0007079501,1.0
6000000,0.81815624,3.9416342412451364,1050.7241379310344,0.6953869,3.451663715797558,3.451663715797558,0.010913445,0.035510026,0.00021060008,0.17019999,0.00070498016,1.0
6060000,0.8154931,3.972972972972973,999.0,0.6909857,3.2710703693587204,3.2710703693587204,0.010909443,0.03394644,0.00020970005,0.16989999,0.0007020101,1.0
6120000,0.81159174,3.8488372093023258,1050.7241379310344,0.6906423,3.46768084476734,3.46768084476734,0.010904318,0.036071792,0.00020880008,0.16959998,0.00069904013,1.0
6180000,0.80692524,4.019455252918288,1050.7241379310344,0.70519376,3.3755767797601632,3.3755767797601632,0.010580754,0.033448428,0.00020790004,0.1693,0.0006960701,1.0
